record_date,write_date,direction,compass,peak_period,mean_period,max_wave,highest_tenth,sig_height
31/07/2025 12:49,2025-07-31 12:53:53,89,WNW,11.8C,6.80,1.98,1.63,1.28
31/07/2025 14:34,2025-07-31 14:39:21,92,WNW,10.O0,6.80,2.00,1.67,1.34
31/07/2025 17:44,2025-07-31 17:47:24,90,WNW,10.50,6.30,2.72,1.72,1.33
31/07/2025 17:59,2025-07-31 18:02:22,91,WNW,10.50,5.90,2.23,1.58,1.25
31/07/2025 18:09,2025-07-31 18:17:21,91,WNW,10.50,5.90,2.23,1.58,1.25
31/07/2025 18:19,2025-07-31 18:21:48,91,WNW,10.50,5.90,2.23,1.58,1.25
31/07/2025 18:29,2025-07-31 18:32:21,88,WNW,9.50,6.10,2.25,1.60,1.24
31/07/2025 18:49,2025-07-31 18:53:57,88,WNW,9.50,6.10,2.25,1.60,1.24
31/07/2025 19:04,2025-07-31 19:11:09,83,WNW,9.10,6.00,2.27,1.60,1.28
31/07/2025 19:14,2025-07-31 19:19:32,83,WNW,9.10,6.00,2.27,1.60,1.28
31/07/2025 19:29,2025-07-31 19:32:21,89,WNW,11.10,6.00,2.14,1.50,1.17
31/07/2025 19:39,2025-07-31 19:45:36,89,WNW,11.10,6.00,2.14,1.50,1.17
31/07/2025 19:49,2025-07-31 20:02:21,89,WNW,11.10,6.00,2.14,1.50,1.17
31/07/2025 19:59,2025-07-31 20:04:33,88,WNW,10.50,6.00,1.99,1.62,1.25
31/07/2025 20:14,2025-07-31 20:17:22,88,WNW,10.50,6.00,1.99,1.62,1.25
31/07/2025 20:29,2025-07-31 20:32:22,87,WNW,11.10,5.70,2.16,1.50,1.13
31/07/2025 20:44,2025-07-31 20:47:27,87,WNW,11.10,5.70,2.16,1.50,1.13
31/07/2025 20:54,2025-07-31 20:58:21,87,WNW,11.10,5.70,2.16,1.50,1.13
31/07/2025 20:59,2025-07-31 21:08:59,84,WNW,10.50,6.20,2.14,1.49,1.23
1/08/2025 08:29,2025-08-01 08:32:23,260,W,10.O0,4.30,1.72,1.19,0.93
1/08/2025 08:44,2025-08-01 08:47:21,260,W,10.O0,4.30,1.72,1.19,0.93
1/08/2025 08:44,2025-08-01 08:49:34,260,W,10.O0,4.30,1.72,1.19,0.93
1/08/2025 08:59,2025-08-01 09:02:21,266,W,10.O0,4.70,1.79,1.43,1.10
1/08/2025 08:59,2025-08-01 09:04:33,266,W,10.O0,4.70,1.79,1.43,1.10
1/08/2025 08:59,2025-08-01 09:06:46,266,W,10.O0,4.70,1.79,1.43,1.10
1/08/2025 09:04,2025-08-01 09:17:21,266,W,10.O0,4.70,1.79,1.43,1.10
1/08/2025 09:04,2025-08-01 09:19:33,266,W,10.O0,4.70,1.79,1.43,1.10
1/08/2025 09:04,2025-08-01 09:21:45,266,W,10.O0,4.70,1.79,1.43,1.10
1/08/2025 09:19,2025-08-01 09:23:58,266,W,10.O0,4.70,1.79,1.43,1.10
1/08/2025 09:19,2025-08-01 09:32:21,266,W,10.O0,4.70,1.79,1.43,1.10
1/08/2025 09:29,2025-08-01 09:34:33,260,W,10.50,4.40,1.67,1.36,1.06
1/08/2025 09:29,2025-08-01 09:36:45,260,W,10.50,4.40,1.67,1.36,1.06
1/08/2025 09:29,2025-08-01 09:38:57,260,W,10.50,4.40,1.67,1.36,1.06
